"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"MOVR";5.145;76.7;-3.52;-2.88;-3.14;9.03;76.4;74.2;74;70;5.41;540;-629.73;3;0.25;-0.27;0;-0.404;0;-0.943
"MTL";19.682;1.539;4.74;5.167;5.43;5.09;1.529;1.608;1.612;1.573;2.42;1.706;-5.83;663;0.65;0.249;0.249;-0.124;0.124;-2.674
"NANO";3.223;2.15;3.44;5.203;5.2;-0.06;2.114;2.224;2.224;2.148;3.42;17.7;-695.86;633;0.76;0;0;0;0;0
"NBS";0.443;0.01129;-4.25;-4.956;-4.34;-12.43;0.0113;0.01074;0.01081;0.01075;0.56;0.0108;0.09;66;0.44;0.652;1.583;0;0;0.093
"NEAR";127.314;11.112;-3.16;-3.508;-3.21;-8.49;11.118;10.728;10.761;10.677;0.78;11.159;-3.7;6;0.94;0.308;0.308;-0.168;0.056;-1.641
"NEO";14.644;20.09;-0.6;-0.746;-0.65;-12.87;20.1;19.95;19.97;3.89;80.52;141;-606.06;3633;0.06;0.1;0.15;-0.201;-0.05;-1.454
"NKN";2.089;0.2194;-8.25;-8.798;-8.71;-1;0.2205;0.2011;0.2013;0.2012;0.05;0.2025;-0.6;66;0.66;0.099;0.099;0;0;-1.492
"NMR";0.939;25.01;-7.12;-8.89;-8.22;-7.54;25.31;23.06;23.23;23.02;0.9;23.51;-1.21;333;0.53;0.737;0.737;-0.13;0;0.087
"NU";1.699;0.492;-1.38;-0.797;-0.86;7.9;0.4894;0.4855;0.4852;0.4778;1.53;0.4889;-0.76;63;0.56;-0.062;0;-0.391;0.041;-1.112
"NULS";1.822;0.3992;-7.94;-7.292;-7.59;4.09;0.3977;0.3687;0.3675;0.3631;1.2;0.3731;-1.52;36;0.02;-0.325;0;-0.325;0;-1.004
"OCEAN";4.462;0.5739;-6.41;-6.819;-6.58;-3.5;0.5749;0.5357;0.5371;0.5343;0.52;0.5363;0.15;66;0.47;0.261;0.355;-0.075;-0.093;-0.952
"OG";0.542;3.375;-5.72;-6.673;-6.47;-3.04;3.402;3.175;3.182;3.16;0.69;11.2;-251.98;3333;0.07;0.22;0.22;0;0.22;-1.039
"OGN";4.104;0.3283;-3.59;-3.399;-3.09;-9.09;0.3266;0.3155;0.3165;0.3124;1.3;0.3179;-0.44;63;0.62;0.317;0.317;-0.317;0.253;-1.236
"OM";0.426;0.0985;-6.19;-6.002;-6;-0.03;0.0983;0.0924;0.0924;0.0924;0;0.0925;-0.11;333;0.08;0;0;0;0;-0.216
"OMG";20.611;4.889;-5.56;-6.385;-6.12;-4.15;4.918;4.604;4.617;0.3031;93.44;20.124;-335.87;6;0.91;0.282;0.282;0;0;-0.912
"ONE";43.259;0.1859;-4.29;-5.786;-5.21;-9.96;0.18769;0.17683;0.17792;0.17536;1.44;0.17675;0.66;63;0.88;0.616;0.616;0;0;-1.238
"ONG";2.666;0.6389;-2.38;-2.388;-2.65;10.97;0.6407;0.6254;0.6237;0.6197;0.64;0.635;-1.81;3633;0.03;-0.272;0;-0.352;0.08;-0.432
